Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Reward Leftover;Bad Destination
39;22;-23288.87;0;424.6664;424.6664;32.66665;125.8333;125.8333;41.94443;13;3;150;260;-16000;-1698.864;-6000
40;15;-6141.167;0;130.9999;130.9999;13.09999;114.8333;114.8333;19.13888;10;6;300;200;-2000;-641.1666;-4000
41;15;-13972.57;0;150;150;16.66666;228.4998;228.4998;38.08329;9;6;300;180;-10000;-452.5657;-4000
42;12;-5550.961;0;411.6666;411.6666;25.72916;332.3332;332.3332;36.92591;16;9;450;320;-2000;-820.962;-3500
43;22;-8956.895;0;493.6664;493.6664;27.42591;854.8333;854.8333;53.42708;18;16;800;360;-6000;-616.8954;-3500
44;16;-16659.66;0;95.33337;95.33337;19.06668;35.66668;35.66668;35.66668;5;1;50;100;-10000;-809.6579;-6000
45;16;-18606.15;0;425.6666;425.6666;25.03921;464.1665;464.1665;58.02081;17;8;400;340;-14000;-346.1479;-5000
46;14;-3427.306;0;347;347;26.6923;313.1664;313.1664;39.1458;13;8;400;260;0;-587.3063;-3500
47;19;-11860.52;0;202.6667;202.6667;14.47619;266.6667;266.6667;24.24243;14;11;550;280;-8000;-1190.518;-3500
48;13;-8449.013;0;104.3333;104.3333;20.86666;66.83335;66.83335;33.41668;5;2;100;100;-4000;-649.0122;-4000
49;15;-10444.54;0;269.6667;269.6667;29.96296;88.83339;88.83339;29.61113;9;3;150;180;-6000;-774.5391;-4000
50;20;-4386.074;0;305.6667;305.6667;16.98148;373.1664;373.1664;33.92422;18;11;550;360;-2000;-796.0743;-2500
51;35;-21668.04;0;555.3333;555.3333;20.5679;819.8337;819.8337;37.26517;27;22;1100;540;-16000;-308.042;-7000
52;14;-4604.621;0;243;243;20.25;135.5;135.5;22.58334;12;6;300;240;-2000;-644.621;-2500
53;16;-4322.636;0;461.6665;461.6665;25.64814;657.6661;657.6661;54.80551;18;12;600;360;-2000;-282.6359;-3000
54;21;-19241.77;0;277.3333;277.3333;18.48889;241.3333;241.3333;30.16666;15;8;400;300;-14000;-441.7705;-5500
55;22;-11022.95;0;714.6668;714.6668;32.48486;817.3333;817.3333;45.4074;22;18;900;440;-8000;-862.9471;-3500
56;12;-6457.723;0;86.66666;86.66666;12.38095;118.5;118.5;23.69999;7;5;250;140;-4000;-847.722;-2000
57;26;-18263.56;0;396.6666;396.6666;22.03703;539.6666;539.6666;41.51281;18;13;650;360;-12000;-773.5656;-6500
58;15;-9655.083;0;386.3333;386.3333;27.59523;294.6665;294.6665;42.09521;14;7;350;280;-6000;-785.0825;-3500
59;25;-12922.61;0;550.0001;550.0001;22.91667;830.1667;830.1667;41.50834;24;20;1000;480;-10000;-402.6068;-4000
60;15;-8417.022;0;248.3333;248.3333;20.69444;373.3331;373.3331;46.66663;12;8;400;240;-6000;-557.0232;-2500
61;21;-12613.83;0;447.9999;447.9999;26.35294;581.1666;581.1666;41.5119;17;14;700;340;-8000;-653.8254;-5000
62;16;-12514.43;0;29.66666;29.66666;7.416665;12.16666;12.16666;12.16666;4;1;50;80;-6000;-1144.427;-5500
63;18;-8521.406;0;222.6666;222.6666;18.55555;356.1666;356.1666;39.57407;12;9;450;240;-4000;-711.4068;-4500
64;16;-4277.543;0;262.6666;262.6666;23.87878;330.6664;330.6664;33.06664;11;10;500;220;-2000;-497.5436;-2500
65;35;-26376.81;0;730.0002;730.0002;24.33334;1129;1129;47.04166;30;24;1200;600;-20000;-676.8057;-7500
66;16;-9428.383;0;191.6667;191.6667;21.2963;171.8333;171.8333;28.63888;9;6;300;180;-6000;-408.3833;-3500
67;16;-6945.148;0;301.3333;301.3333;21.52381;590.333;590.333;49.19442;14;12;600;280;-4000;-825.148;-3000
68;30;-15153.33;0;522;522;22.69565;779.8332;779.8332;38.99166;23;20;1000;460;-10000;-613.3306;-6000
69;18;-12512.15;0;323.6666;323.6666;24.89743;161.1665;161.1665;32.2333;13;5;250;260;-8000;-1022.145;-4000
70;14;-12356.03;0;278.3331;278.3331;39.76188;34.16668;34.16668;34.16668;7;1;50;140;-6000;-546.0325;-6000
71;52;-25515.75;0;1337;1337;25.71153;1986.666;1986.666;46.20154;52;43;2150;1040;-20000;-705.7552;-8000
72;12;-14065.52;0;212.9998;212.9998;21.29998;189.6665;189.6665;47.41663;10;4;200;200;-10000;-965.5198;-3500
73;21;-13492.75;0;346.9999;346.9999;23.13333;626.1663;626.1663;48.16664;15;13;650;300;-8000;-442.7495;-6000
74;13;-6321.085;0;412.3334;412.3334;29.45239;381.8333;381.8333;47.72916;14;8;400;280;-4000;-501.0854;-2500
75;12;-9063.261;0;281.3334;281.3334;21.64103;221.6667;221.6667;36.94445;13;6;300;260;-6000;-623.2601;-3000
76;18;-3925.761;0;497.3336;497.3336;31.08335;680.1666;680.1666;52.32051;16;13;650;320;0;-895.7609;-4000
77;13;-11926.07;0;166.3333;166.3333;20.79166;99.83337;99.83337;24.95834;8;4;200;160;-8000;-786.068;-3500
78;21;-22233.74;0;472.333;472.333;31.48887;355.8329;355.8329;44.47912;15;8;400;300;-16000;-933.7401;-6000
79;15;-14025.57;0;162.3333;162.3333;23.19047;36.66668;36.66668;36.66668;7;1;50;140;-8000;-715.5712;-5500
80;17;-6268.894;0;247.6667;247.6667;17.69048;280.6668;280.6668;31.1852;14;9;450;280;-4000;-498.8934;-2500
81;15;-11630.01;0;182.3334;182.3334;22.79167;110.6667;110.6667;36.88889;8;3;150;160;-8000;-940.0137;-3000
82;20;-18777.35;0;352.9999;352.9999;23.53333;381.1665;381.1665;38.11665;15;10;500;300;-14000;-577.3432;-5000
